id;quantidade;data;tamanho;valor
1;26303;2020-09-01;indexing;32488
2;43324;2020-09-01;Solutions deposit firewall;68700
3;42274;2020-09-01;Home Loan Account Iraqi Dinar Shirt;40171
4;82390;2020-09-01;Open-architected;40248
5;56653;2020-09-01;flexibility;66583
6;7411;2020-09-01;Representative white deposit;91977
7;68672;2020-09-01;Personal Loan Account neural;38824
8;39384;2020-09-01;Interactions Fantastic Fresh Table;54766
9;53299;2020-09-01;Mobility Handmade Metal Shirt;77905
10;81049;2020-09-01;programming Berkshire invoice;54677
