id;codigo;titulo;date;status
1;AGP multi-byte feed;COM Lead;2020-08-31;EM_VIGOR
2;Program Massachusetts;system;2020-09-01;EM_VIGOR
3;Lilangeni Ball;transparent Generic Plastic Chair Cook Islands;2020-09-01;EM_VIGOR
4;Wooden Product;compressing;2020-08-31;EM_VIGOR
5;Senior indigo index;Innovative Samoa orchid;2020-09-01;EM_VIGOR
6;payment Personal Loan Account open-source;Avon Practical Cotton Soap superstructure;2020-09-01;EM_VIGOR
7;Integration incubate Hat;Somoni;2020-08-31;EM_VIGOR
8;Nevada Intelligent back-end;e-commerce;2020-09-01;EM_VIGOR
9;Home Loan Account primary Designer;Garden one-to-one USB;2020-09-01;EM_VIGOR
10;monitor Auto Loan Account;open-source;2020-09-01;EM_VIGOR
